latitude,longitude,name,desc,color,source,precision
42.232918,-72.013895,"62 W Main Street, Spencer, MA 01562","62 W Main St, Spencer, Worcester, MA, US",,MapQuest,address
42.095249,-72.498365,"300 Cooley Street, Springfield, MA 01128","300 Cooley St, Springfield, Hampden, MA, US",,MapQuest,address
42.136887,-72.518694,"770 Boston Rd, Springfield, MA 01119","770 Boston Rd, Springfield, Hampden, MA, US",,MapQuest,address
42.115006,-72.498586,"1242 Parker St, Springfield, MA 01119","1242 Parker St, Springfield, Hampden, MA, US",,MapQuest,address
42.135061,-72.568234,"970 St. James Ave, Springfield, MA 01104","970 Saint James Ave, Springfield, Hampden, MA, US",,MapQuest,address
42.109662,-72.572743,"600 State St, Springfield, MA 01109","600 State St, Springfield, Hampden, MA, US",,MapQuest,address
42.14326,-72.488149,"1655 Boston Rd, Springfield, MA 01129","1655 Boston Rd, Springfield, Hampden, MA, US",,MapQuest,address
42.115878,-72.595442,"271 Carew Street, Springfield, MA 01104","271 Carew St, Springfield, Hampden, MA, US",,MapQuest,address
42.135359,-71.102551,"1025 Central Street, Stoughton, MA 02072","1025 Central St, Stoughton, Norfolk, MA, US",,MapQuest,address
42.112163,-72.088605,"362 Main St, Sturbridge, MA 01566","362 Main St, Sturbridge, Worcester, MA, US",,MapQuest,address
42.16168,-71.73366,"21 Galaxy Pass, Sutton, MA 01590","21 Galaxy Pass, Sutton, Worcester County, MA, US",,MapQuest,address
42.481299,-70.902983,"450 Paradise Rd, Swampscott, MA 01907","450 Paradise Rd, Swampscott, Essex, MA, US",,MapQuest,address
41.884362,-71.066651,"675 County Street, Taunton, MA 02780","675 County St, Taunton, Bristol, MA, US",,MapQuest,address
41.886311,-71.119986,"255 Joseph E. Warner Blvd., Taunton, MA 02780","255 Joseph E Warner Blvd, Taunton, Bristol, MA, US",,MapQuest,address
42.59752,-72.524522,"82 Industrial Blvd, Turners Falls, MA 01376","82 Industrial Blvd, Turners Falls, Franklin, MA, US",,MapQuest,address
42.082483,-71.638128,"158 No. Main St., Uxbridge, MA 01569","158 N Main St, Uxbridge, Worcester, MA, US",,MapQuest,address
42.081596,-71.62711,"62 Capron St, Uxbridge, MA 01569","62 Capron St, Uxbridge, Worcester, MA, US",,MapQuest,address
42.138946,-71.219629,"999 Providence Highway, Walpole, MA 02081","999 Providence Hwy, Walpole, Norfolk, MA, US",,MapQuest,address
42.376046,-71.243815,"12 Harvard St., Waltham, MA 02453","12 Harvard St, Waltham, Middlesex, MA, US",,MapQuest,address
